world_cup_year,match_id,source_match_id,stage,group_name,match_date,home_team,away_team,stadium,city,host_country,attendance,stadium_capacity,final_flag,extra_time_flag,penalty_flag,attendance_status,metadata_source_url,attendance_source_url
2014,2014_01,M-2014-01,group stage,Group A,2014-06-12,Brazil,Croatia,Arena Corinthians,São Paulo,Brazil,62103.0,63000,0,0,0,real_match_attendance,https://github.com/jfjelstul/worldcup,https://raw.githubusercontent.com/reisanar/datasets/master/WorldCupMatches.csv
2014,2014_02,M-2014-02,group stage,Group A,2014-06-13,Mexico,Cameroon,Arena das Dunas,Natal,Brazil,39216.0,40000,0,0,0,real_match_attendance,https://github.com/jfjelstul/worldcup,https://raw.githubusercontent.com/reisanar/datasets/master/WorldCupMatches.csv
2014,2014_03,M-2014-03,group stage,Group B,2014-06-13,Spain,Netherlands,Arena Fonte Nova,Salvador,Brazil,48173.0,52000,0,0,0,real_match_attendance,https://github.com/jfjelstul/worldcup,https://raw.githubusercontent.com/reisanar/datasets/master/WorldCupMatches.csv
2014,2014_04,M-2014-04,group stage,Group B,2014-06-13,Chile,Australia,Arena Pantanal,Cuiabá,Brazil,40275.0,41000,0,0,0,real_match_attendance,https://github.com/jfjelstul/worldcup,https://raw.githubusercontent.com/reisanar/datasets/master/WorldCupMatches.csv
2014,2014_05,M-2014-05,group stage,Group C,2014-06-14,Colombia,Greece,Estádio Mineirão,Belo Horizonte,Brazil,57174.0,43000,0,0,0,real_match_attendance,https://github.com/jfjelstul/worldcup,https://raw.githubusercontent.com/reisanar/datasets/master/WorldCupMatches.csv
2014,2014_06,M-2014-06,group stage,Group D,2014-06-14,Uruguay,Costa Rica,Estádio Castelão,Fortaleza,Brazil,58679.0,63000,0,0,0,real_match_attendance,https://github.com/jfjelstul/worldcup,https://raw.githubusercontent.com/reisanar/datasets/master/WorldCupMatches.csv
2014,2014_07,M-2014-07,group stage,Group D,2014-06-14,England,Italy,Arena da Amazônia,Manaus,Brazil,39800.0,41000,0,0,0,real_match_attendance,https://github.com/jfjelstul/worldcup,https://raw.githubusercontent.com/reisanar/datasets/master/WorldCupMatches.csv
2014,2014_08,M-2014-08,group stage,Group C,2014-06-14,Ivory Coast,Japan,Arena Pernambuco,Recife,Brazil,40267.0,43000,0,0,0,real_match_attendance,https://github.com/jfjelstul/worldcup,https://raw.githubusercontent.com/reisanar/datasets/master/WorldCupMatches.csv
2014,2014_09,M-2014-09,group stage,Group E,2014-06-15,Switzerland,Ecuador,Estádio Nacional,Brasília,Brazil,68351.0,70000,0,0,0,real_match_attendance,https://github.com/jfjelstul/worldcup,https://raw.githubusercontent.com/reisanar/datasets/master/WorldCupMatches.csv
2014,2014_10,M-2014-10,group stage,Group E,2014-06-15,France,Honduras,Estádio Beira-Rio,Porto Alegre,Brazil,43012.0,43000,0,0,0,real_match_attendance,https://github.com/jfjelstul/worldcup,https://raw.githubusercontent.com/reisanar/datasets/master/WorldCupMatches.csv
2014,2014_11,M-2014-11,group stage,Group F,2014-06-15,Argentina,Bosnia and Herzegovina,Estádio do Maracanã,Rio de Janeiro,Brazil,74738.0,200000,0,0,0,real_match_attendance,https://github.com/jfjelstul/worldcup,https://raw.githubusercontent.com/reisanar/datasets/master/WorldCupMatches.csv
2014,2014_12,M-2014-12,group stage,Group G,2014-06-16,Germany,Portugal,Arena Fonte Nova,Salvador,Brazil,51081.0,52000,0,0,0,real_match_attendance,https://github.com/jfjelstul/worldcup,https://raw.githubusercontent.com/reisanar/datasets/master/WorldCupMatches.csv
2014,2014_13,M-2014-13,group stage,Group F,2014-06-16,Iran,Nigeria,Arena da Baixada,Curitiba,Brazil,39081.0,40000,0,0,0,real_match_attendance,https://github.com/jfjelstul/worldcup,https://raw.githubusercontent.com/reisanar/datasets/master/WorldCupMatches.csv
2014,2014_14,M-2014-14,group stage,Group G,2014-06-16,Ghana,United States,Arena das Dunas,Natal,Brazil,39760.0,40000,0,0,0,real_match_attendance,https://github.com/jfjelstul/worldcup,https://raw.githubusercontent.com/reisanar/datasets/master/WorldCupMatches.csv
2014,2014_15,M-2014-15,group stage,Group H,2014-06-17,Belgium,Algeria,Estádio Mineirão,Belo Horizonte,Brazil,56800.0,43000,0,0,0,real_match_attendance,https://github.com/jfjelstul/worldcup,https://raw.githubusercontent.com/reisanar/datasets/master/WorldCupMatches.csv
2014,2014_16,M-2014-16,group stage,Group A,2014-06-17,Brazil,Mexico,Estádio Castelão,Fortaleza,Brazil,60342.0,63000,0,0,0,real_match_attendance,https://github.com/jfjelstul/worldcup,https://raw.githubusercontent.com/reisanar/datasets/master/WorldCupMatches.csv
2014,2014_17,M-2014-17,group stage,Group H,2014-06-17,Russia,South Korea,Arena Pantanal,Cuiabá,Brazil,37603.0,41000,0,0,0,real_match_attendance,https://github.com/jfjelstul/worldcup,https://raw.githubusercontent.com/reisanar/datasets/master/WorldCupMatches.csv
2014,2014_18,M-2014-18,group stage,Group B,2014-06-18,Australia,Netherlands,Estádio Beira-Rio,Porto Alegre,Brazil,42877.0,43000,0,0,0,real_match_attendance,https://github.com/jfjelstul/worldcup,https://raw.githubusercontent.com/reisanar/datasets/master/WorldCupMatches.csv
2014,2014_19,M-2014-19,group stage,Group B,2014-06-18,Spain,Chile,Estádio do Maracanã,Rio de Janeiro,Brazil,74101.0,200000,0,0,0,real_match_attendance,https://github.com/jfjelstul/worldcup,https://raw.githubusercontent.com/reisanar/datasets/master/WorldCupMatches.csv
2014,2014_20,M-2014-20,group stage,Group A,2014-06-18,Cameroon,Croatia,Arena da Amazônia,Manaus,Brazil,39982.0,41000,0,0,0,real_match_attendance,https://github.com/jfjelstul/worldcup,https://raw.githubusercontent.com/reisanar/datasets/master/WorldCupMatches.csv
2014,2014_21,M-2014-21,group stage,Group C,2014-06-19,Colombia,Ivory Coast,Estádio Nacional,Brasília,Brazil,68748.0,70000,0,0,0,real_match_attendance,https://github.com/jfjelstul/worldcup,https://raw.githubusercontent.com/reisanar/datasets/master/WorldCupMatches.csv
2014,2014_22,M-2014-22,group stage,Group D,2014-06-19,Uruguay,England,Arena Corinthians,São Paulo,Brazil,62575.0,63000,0,0,0,real_match_attendance,https://github.com/jfjelstul/worldcup,https://raw.githubusercontent.com/reisanar/datasets/master/WorldCupMatches.csv
2014,2014_23,M-2014-23,group stage,Group C,2014-06-19,Japan,Greece,Arena das Dunas,Natal,Brazil,39485.0,40000,0,0,0,real_match_attendance,https://github.com/jfjelstul/worldcup,https://raw.githubusercontent.com/reisanar/datasets/master/WorldCupMatches.csv
2014,2014_24,M-2014-24,group stage,Group D,2014-06-20,Italy,Costa Rica,Arena Pernambuco,Recife,Brazil,40285.0,43000,0,0,0,real_match_attendance,https://github.com/jfjelstul/worldcup,https://raw.githubusercontent.com/reisanar/datasets/master/WorldCupMatches.csv
2014,2014_25,M-2014-25,group stage,Group E,2014-06-20,Switzerland,France,Arena Fonte Nova,Salvador,Brazil,51003.0,52000,0,0,0,real_match_attendance,https://github.com/jfjelstul/worldcup,https://raw.githubusercontent.com/reisanar/datasets/master/WorldCupMatches.csv
2014,2014_26,M-2014-26,group stage,Group E,2014-06-20,Honduras,Ecuador,Arena da Baixada,Curitiba,Brazil,39224.0,40000,0,0,0,real_match_attendance,https://github.com/jfjelstul/worldcup,https://raw.githubusercontent.com/reisanar/datasets/master/WorldCupMatches.csv
2014,2014_27,M-2014-27,group stage,Group F,2014-06-21,Argentina,Iran,Estádio Mineirão,Belo Horizonte,Brazil,57698.0,43000,0,0,0,real_match_attendance,https://github.com/jfjelstul/worldcup,https://raw.githubusercontent.com/reisanar/datasets/master/WorldCupMatches.csv
2014,2014_28,M-2014-28,group stage,Group G,2014-06-21,Germany,Ghana,Estádio Castelão,Fortaleza,Brazil,59621.0,63000,0,0,0,real_match_attendance,https://github.com/jfjelstul/worldcup,https://raw.githubusercontent.com/reisanar/datasets/master/WorldCupMatches.csv
2014,2014_29,M-2014-29,group stage,Group F,2014-06-21,Nigeria,Bosnia and Herzegovina,Arena Pantanal,Cuiabá,Brazil,40499.0,41000,0,0,0,real_match_attendance,https://github.com/jfjelstul/worldcup,https://raw.githubusercontent.com/reisanar/datasets/master/WorldCupMatches.csv
2014,2014_30,M-2014-30,group stage,Group H,2014-06-22,Belgium,Russia,Estádio do Maracanã,Rio de Janeiro,Brazil,73819.0,200000,0,0,0,real_match_attendance,https://github.com/jfjelstul/worldcup,https://raw.githubusercontent.com/reisanar/datasets/master/WorldCupMatches.csv
2014,2014_31,M-2014-31,group stage,Group H,2014-06-22,South Korea,Algeria,Estádio Beira-Rio,Porto Alegre,Brazil,42732.0,43000,0,0,0,real_match_attendance,https://github.com/jfjelstul/worldcup,https://raw.githubusercontent.com/reisanar/datasets/master/WorldCupMatches.csv
2014,2014_32,M-2014-32,group stage,Group G,2014-06-22,United States,Portugal,Arena da Amazônia,Manaus,Brazil,40123.0,41000,0,0,0,real_match_attendance,https://github.com/jfjelstul/worldcup,https://raw.githubusercontent.com/reisanar/datasets/master/WorldCupMatches.csv
