world_cup_year,host_country,match_id,stage,match_date,home_team,away_team,stadium,city,attendance,stadium_capacity,attendance_status,final_flag,extra_time_flag,penalty_flag,host_team_flag,opening_match_flag,avg_per_match_benchmark_m,final_benchmark_m,opening_benchmark_m,stage_weight,attendance_ratio,attendance_factor,host_factor,suspense_factor,raw_index,scale_factor,override_viewers_m,estimated_global_viewers_m,model_note,source_bridge
2010,South Africa,2010_46,group stage,2010-06-25,Portugal,Brazil,Moses Mabhida Stadium,Durban,62712.0,63000,real_match_attendance,0,0,0,0,0,188.4,909.6,0.0,0.82,0.9954285714285714,1.1486285714285713,1.0,1.0,0.9418754285714285,171.1086389255962,,161.16302262031974,Modeled from Layer A average-per-match benchmark; stage=group stage; attendance_status=real_match_attendance,Layer A global benchmarks + updated Dataset 1 attendance
2010,South Africa,2010_47,group stage,2010-06-25,Chile,Spain,Loftus Versfeld Stadium,Pretoria,41958.0,43000,real_match_attendance,0,0,0,0,0,188.4,909.6,0.0,0.82,0.9757674418604652,1.1427302325581394,1.0,1.0,0.9370387906976743,171.1086389255962,,160.33543209676566,Modeled from Layer A average-per-match benchmark; stage=group stage; attendance_status=real_match_attendance,Layer A global benchmarks + updated Dataset 1 attendance
2010,South Africa,2010_48,group stage,2010-06-25,Switzerland,Honduras,Free State Stadium,Bloemfontein,28042.0,41000,real_match_attendance,0,0,0,0,0,188.4,909.6,0.0,0.82,0.6839512195121952,1.0551853658536585,1.0,1.0,0.8652519999999999,171.1086389255962,,148.05209204764995,Modeled from Layer A average-per-match benchmark; stage=group stage; attendance_status=real_match_attendance,Layer A global benchmarks + updated Dataset 1 attendance
2010,South Africa,2010_49,round of 16,2010-06-26,Uruguay,South Korea,Nelson Mandela Bay Stadium,Port Elizabeth,30597.0,42000,real_match_attendance,0,0,0,0,0,188.4,909.6,0.0,1.05,0.7285,1.0685499999999999,1.0,1.0,1.1219774999999998,171.1086389255962,,191.9800429301431,Modeled from Layer A average-per-match benchmark; stage=round of 16; attendance_status=real_match_attendance,Layer A global benchmarks + updated Dataset 1 attendance
2010,South Africa,2010_50,round of 16,2010-06-26,United States,Ghana,Royal Bafokeng Stadium,Rustenburg,34976.0,42000,real_match_attendance,0,1,0,0,0,188.4,909.6,0.0,1.05,0.8327619047619048,1.0998285714285714,1.0,1.08,1.2472056,171.1086389255962,,213.4076526763816,Modeled from Layer A average-per-match benchmark; stage=round of 16; attendance_status=real_match_attendance,Layer A global benchmarks + updated Dataset 1 attendance
2010,South Africa,2010_51,round of 16,2010-06-27,Germany,England,Free State Stadium,Bloemfontein,40510.0,41000,real_match_attendance,0,0,0,0,0,188.4,909.6,0.0,1.05,0.9880487804878049,1.1464146341463415,1.0,1.0,1.2037353658536587,171.1086389255962,,205.96952007782414,Modeled from Layer A average-per-match benchmark; stage=round of 16; attendance_status=real_match_attendance,Layer A global benchmarks + updated Dataset 1 attendance
2010,South Africa,2010_52,round of 16,2010-06-27,Argentina,Mexico,Soccer City,Johannesburg,84377.0,84000,real_match_attendance,0,0,0,0,0,188.4,909.6,0.0,1.05,1.0044880952380952,1.1513464285714285,1.0,1.0,1.20891375,171.1086389255962,,206.8555863409385,Modeled from Layer A average-per-match benchmark; stage=round of 16; attendance_status=real_match_attendance,Layer A global benchmarks + updated Dataset 1 attendance
2010,South Africa,2010_53,round of 16,2010-06-28,Netherlands,Slovakia,Moses Mabhida Stadium,Durban,61962.0,63000,real_match_attendance,0,0,0,0,0,188.4,909.6,0.0,1.05,0.9835238095238096,1.1450571428571428,1.0,1.0,1.20231,171.1086389255962,,205.72562766663359,Modeled from Layer A average-per-match benchmark; stage=round of 16; attendance_status=real_match_attendance,Layer A global benchmarks + updated Dataset 1 attendance
2010,South Africa,2010_54,round of 16,2010-06-28,Brazil,Chile,Ellis Park Stadium,Johannesburg,54096.0,56000,real_match_attendance,0,0,0,0,0,188.4,909.6,0.0,1.05,0.966,1.1398,1.0,1.0,1.19679,171.1086389255962,,204.7811079797643,Modeled from Layer A average-per-match benchmark; stage=round of 16; attendance_status=real_match_attendance,Layer A global benchmarks + updated Dataset 1 attendance
2010,South Africa,2010_55,round of 16,2010-06-29,Paraguay,Japan,Loftus Versfeld Stadium,Pretoria,36742.0,43000,real_match_attendance,0,1,1,0,0,188.4,909.6,0.0,1.05,0.8544651162790697,1.1063395348837208,1.0,1.2000000000000002,1.3939878139534885,171.1086389255962,,238.52335752444864,Modeled from Layer A average-per-match benchmark; stage=round of 16; attendance_status=real_match_attendance,Layer A global benchmarks + updated Dataset 1 attendance
